Name deutsch/lokal,Name wissenschaftlich,Einzugsgebiet,Gefährdungsstatus,L. Maggiore,Lower L. Lugano,Upper L. Lugano,L. Geneva,Lower L. Constance,Upper L. Constance,Upper L. Zürich,Lower L. Zürich,Walensee,Rotsee,L. Biel,L. Murten,L. Neuchâtel,L. Alpnach,"L. Lucerne, Gersauer Becken","L. Lucerne, Kreuztrichter","L. Lucerne, Urnersee",Greifensee,Pfäffikersee,L. Brienz,Klöntalersee,Lago di Poschiavo,Lac de Joux,Lac de l'Hongrin,L. Davos,Oeschinensee,L. St. Moritz,L. Silvaplana,L. Sils,Kritische Temperatur °C,Minimale Temperatur °C,Kritischer O2-Grenzwert (mg/l)
"Flussbarsch, Egli",Perca fluviatilis,"Rhein, Rhone, Doubs, Ticino, Inn",NG,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,23.903846153846153,1,3.0
Rhonestreber,Zingel asper,Doubs,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23.903846153846153,X,3.0
Flussneunauge,Lampetra fluviatilis,Hochrhein,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,31.0,8,3.0
Bachneunauge,Lampetra planeri,"Rhein, Doubs",2,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,17.0,8,3.0
Piccola lampreda,Lampetra zanandreai,Ticino,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,19.0,X,3.0
Meerneunauge,Petromyzon marinus,Hochrhein,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23.0,3,3.0
Huchen,Hucho hucho,Inn,0,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,23.0,3,3.0
Adriatische Forelle,Salmo cenerinus,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,16.0,7,3.0
Donauforelle,Salmo labrax,Inn,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,JA,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,23.903846153846153,1,3.0
Marmorataforelle,Salmo marmoratus,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,19.0,X,3.0
